timestamp,open,high,low,close,volume,instrument
2026-01-05 09:15:00,25054.35,25066.45,25031.45,25040.30,340794,NIFTY 50
2026-01-05 09:16:00,25040.30,25062.50,25018.55,25023.70,299911,NIFTY 50
2026-01-05 09:17:00,25023.70,25119.65,25004.25,25086.15,399592,NIFTY 50
2026-01-05 09:18:00,25086.15,25096.85,25070.65,25078.20,322131,NIFTY 50
2026-01-05 09:19:00,25078.20,25149.45,25074.00,25121.60,248292,NIFTY 50
2026-01-05 09:20:00,25121.60,25173.55,25117.10,25170.50,320934,NIFTY 50
2026-01-05 09:21:00,25170.50,25195.15,25152.20,25166.00,350229,NIFTY 50
2026-01-05 09:22:00,25166.00,25187.95,25147.75,25176.70,257425,NIFTY 50
2026-01-05 09:23:00,25176.70,25206.50,25156.45,25160.75,341982,NIFTY 50
2026-01-05 09:24:00,25160.75,25201.90,25137.90,25191.75,367217,NIFTY 50
2026-01-05 09:25:00,25191.75,25221.05,25096.70,25123.85,340140,NIFTY 50
2026-01-05 09:26:00,25123.85,25130.90,25096.25,25102.80,239399,NIFTY 50
2026-01-05 09:27:00,25102.80,25120.50,25037.75,25077.75,255630,NIFTY 50
2026-01-05 09:28:00,25077.75,25077.90,25033.10,25055.40,364412,NIFTY 50
2026-01-05 09:29:00,25055.40,25104.15,25028.15,25075.00,337127,NIFTY 50
2026-01-05 09:30:00,25075.00,25106.25,25030.85,25100.30,239634,NIFTY 50
2026-01-05 09:31:00,25100.30,25112.15,25089.00,25104.55,276209,NIFTY 50
2026-01-05 09:32:00,25104.55,25148.40,25104.00,25128.85,228226,NIFTY 50
2026-01-05 09:33:00,25128.85,25176.35,25069.15,25083.50,291829,NIFTY 50
2026-01-05 09:34:00,25083.50,25100.15,25032.55,25045.60,212645,NIFTY 50
2026-01-05 09:35:00,25045.60,25046.95,25018.95,25032.40,318893,NIFTY 50
2026-01-05 09:36:00,25032.40,25049.60,24990.35,25030.05,292440,NIFTY 50
2026-01-05 09:37:00,25030.05,25100.10,25007.90,25074.70,246204,NIFTY 50
2026-01-05 09:38:00,25074.70,25084.40,25016.10,25059.40,392262,NIFTY 50
2026-01-05 09:39:00,25059.40,25084.40,25044.10,25059.80,155581,NIFTY 50
2026-01-05 09:40:00,25059.80,25105.15,25058.50,25096.65,343378,NIFTY 50
2026-01-05 09:41:00,25096.65,25118.40,25090.70,25092.65,257875,NIFTY 50
2026-01-05 09:42:00,25092.65,25137.15,25039.70,25058.20,241440,NIFTY 50
2026-01-05 09:43:00,25058.20,25083.65,25030.30,25034.55,326353,NIFTY 50
2026-01-05 09:44:00,25034.55,25094.40,24988.35,25081.65,283092,NIFTY 50
2026-01-05 09:45:00,25081.65,25084.70,25021.30,25034.35,313951,NIFTY 50
2026-01-05 09:46:00,25034.35,25041.70,25005.60,25028.10,296449,NIFTY 50
2026-01-05 09:47:00,25028.10,25068.45,25013.65,25059.10,324257,NIFTY 50
2026-01-05 09:48:00,25059.10,25070.55,25050.35,25050.65,229294,NIFTY 50
2026-01-05 09:49:00,25050.65,25065.60,24996.15,24998.75,170868,NIFTY 50
