timestamp,open,high,low,close,volume,instrument
2026-01-05 09:15:00,51799.25,51801.35,51711.50,51725.55,266795,BANK NIFTY
2026-01-05 09:16:00,51725.55,51731.95,51573.20,51646.70,332662,BANK NIFTY
2026-01-05 09:17:00,51646.70,51682.75,51584.00,51611.25,304846,BANK NIFTY
2026-01-05 09:18:00,51611.25,51664.75,51564.85,51640.05,445564,BANK NIFTY
2026-01-05 09:19:00,51640.05,51643.15,51593.50,51610.75,306061,BANK NIFTY
2026-01-05 09:20:00,51610.75,51684.10,51608.90,51625.35,175687,BANK NIFTY
2026-01-05 09:21:00,51625.35,51710.85,51507.75,51690.60,352183,BANK NIFTY
2026-01-05 09:22:00,51690.60,51792.05,51674.00,51748.20,414958,BANK NIFTY
2026-01-05 09:23:00,51748.20,51788.50,51689.35,51699.85,250640,BANK NIFTY
2026-01-05 09:24:00,51699.85,51802.45,51690.25,51792.85,395268,BANK NIFTY
2026-01-05 09:25:00,51792.85,51936.70,51731.20,51895.60,348084,BANK NIFTY
2026-01-05 09:26:00,51895.60,52023.95,51882.80,51965.85,273113,BANK NIFTY
2026-01-05 09:27:00,51965.85,51975.55,51902.40,51925.35,325326,BANK NIFTY
2026-01-05 09:28:00,51925.35,51943.10,51803.95,51830.55,256318,BANK NIFTY
2026-01-05 09:29:00,51830.55,51904.95,51776.35,51890.85,167889,BANK NIFTY
2026-01-05 09:30:00,51890.85,51991.95,51810.40,51917.20,314877,BANK NIFTY
2026-01-05 09:31:00,51917.20,51947.90,51848.65,51925.55,285147,BANK NIFTY
2026-01-05 09:32:00,51925.55,51963.45,51884.90,51914.15,189345,BANK NIFTY
2026-01-05 09:33:00,51914.15,51927.10,51818.90,51863.85,253374,BANK NIFTY
2026-01-05 09:34:00,51863.85,52034.35,51784.35,51927.55,215939,BANK NIFTY
2026-01-05 09:35:00,51927.55,51943.25,51836.95,51895.20,252669,BANK NIFTY
2026-01-05 09:36:00,51895.20,51898.35,51761.40,51855.95,335763,BANK NIFTY
2026-01-05 09:37:00,51855.95,51920.90,51818.15,51888.25,214201,BANK NIFTY
2026-01-05 09:38:00,51888.25,51896.10,51821.70,51865.45,431802,BANK NIFTY
2026-01-05 09:39:00,51865.45,51878.80,51850.35,51854.35,272567,BANK NIFTY
2026-01-05 09:40:00,51854.35,51875.50,51781.90,51820.10,319844,BANK NIFTY
2026-01-05 09:41:00,51820.10,51838.20,51789.50,51818.05,330248,BANK NIFTY
2026-01-05 09:42:00,51818.05,51821.25,51791.10,51804.00,164887,BANK NIFTY
2026-01-05 09:43:00,51804.00,51885.50,51769.55,51848.50,362100,BANK NIFTY
2026-01-05 09:44:00,51848.50,51866.75,51805.25,51865.45,276299,BANK NIFTY
2026-01-05 09:45:00,51865.45,51943.10,51855.60,51902.40,357969,BANK NIFTY
2026-01-05 09:46:00,51902.40,51912.10,51867.20,51905.00,216560,BANK NIFTY
2026-01-05 09:47:00,51905.00,51975.60,51874.15,51914.80,290481,BANK NIFTY
2026-01-05 09:48:00,51914.80,51989.65,51814.85,51876.35,339830,BANK NIFTY
2026-01-05 09:49:00,51876.35,51881.85,51784.10,51833.75,218521,BANK NIFTY
2026-01-05 09:50:00,51833.75,51841.55,51780.55,51806.80,249985,BANK NIFTY
