timestamp,open,high,low,close,volume,instrument
2025-08-01 09:15:00,50788.80,50854.25,50708.20,50737.00,299062,BANK NIFTY
2025-08-01 09:16:00,50737.00,50750.65,50694.00,50699.50,285355,BANK NIFTY
2025-08-01 09:17:00,50699.50,50702.50,50649.85,50653.75,295201,BANK NIFTY
2025-08-01 09:18:00,50653.75,50703.25,50547.20,50574.65,248629,BANK NIFTY
2025-08-01 09:19:00,50574.65,50611.55,50447.35,50475.35,299607,BANK NIFTY
2025-08-01 09:20:00,50475.35,50528.60,50316.70,50357.95,340027,BANK NIFTY
2025-08-01 09:21:00,50357.95,50427.10,50289.35,50331.90,190191,BANK NIFTY
2025-08-01 09:22:00,50331.90,50341.60,50209.50,50279.65,350962,BANK NIFTY
2025-08-01 09:23:00,50279.65,50305.60,50261.85,50287.05,159344,BANK NIFTY
2025-08-01 09:24:00,50287.05,50325.90,50207.65,50220.40,379301,BANK NIFTY
2025-08-01 09:25:00,50220.40,50267.60,50138.75,50192.15,233052,BANK NIFTY
2025-08-01 09:26:00,50192.15,50214.00,50173.80,50195.50,243259,BANK NIFTY
2025-08-01 09:27:00,50195.50,50267.80,50185.20,50240.30,351475,BANK NIFTY
2025-08-01 09:28:00,50240.30,50248.45,50091.60,50108.40,193719,BANK NIFTY
2025-08-01 09:29:00,50108.40,50164.35,50086.30,50127.30,296507,BANK NIFTY
2025-08-01 09:30:00,50127.30,50178.65,50111.05,50123.35,323288,BANK NIFTY
2025-08-01 09:31:00,50123.35,50166.30,50101.85,50110.20,288288,BANK NIFTY
2025-08-01 09:32:00,50110.20,50115.70,49966.60,50024.75,261115,BANK NIFTY
2025-08-01 09:33:00,50024.75,50108.70,49985.45,50073.40,279998,BANK NIFTY
2025-08-01 09:34:00,50073.40,50099.60,49969.75,49991.90,267925,BANK NIFTY
2025-08-01 09:35:00,49991.90,50002.25,49814.25,49885.25,363904,BANK NIFTY
2025-08-01 09:36:00,49885.25,49901.50,49873.40,49880.40,425489,BANK NIFTY
2025-08-01 09:37:00,49880.40,49893.75,49825.05,49843.00,330737,BANK NIFTY
2025-08-01 09:38:00,49843.00,49919.40,49755.90,49910.75,255606,BANK NIFTY
2025-08-01 09:39:00,49910.75,49954.15,49812.85,49877.75,273431,BANK NIFTY
2025-08-01 09:40:00,49877.75,49913.65,49853.80,49893.05,246813,BANK NIFTY
2025-08-01 09:41:00,49893.05,50007.10,49840.75,49981.75,217809,BANK NIFTY
2025-08-01 09:42:00,49981.75,50045.75,49904.65,49981.60,280190,BANK NIFTY
